,Primary vote,Primary vote,Primary vote,2PP vote,2PP vote,Seats,Seats,Seats,Seats,Governing party at election,Governing since,PM at election,Winning party,Notes,log gov period,winner,Govt 2pp votes margin,Govt seats margin
,ALP,L+NP,Oth.,ALP,L+NP,ALP,L+NP,Oth.,Total,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
1993-03-13,0.449,0.44299999999999995,0.107,0.514,0.486,80.0,65.0,2.0,147.0,ALP,1983-03-11,Keating,ALP,,8.203851372183879,ALP,0.028000000000000025,0.10344827586206896
1996-03-02,0.387,0.473,0.14,0.46399999999999997,0.536,49.0,94.0,5.0,148.0,ALP,1983-03-11,Keating,L+NP,,8.463792414689122,L+NP,-0.07200000000000006,-0.3146853146853147
1998-10-03,0.401,0.395,0.204,0.51,0.49,67.0,80.0,1.0,148.0,L+NP,1996-03-11,Howard,L+NP,,6.841615476477592,L+NP,-0.020000000000000018,0.08843537414965986
2001-11-10,0.37799999999999995,0.43,0.192,0.49,0.51,65.0,82.0,3.0,150.0,L+NP,1996-03-11,Howard,L+NP,,7.635303886259415,L+NP,0.020000000000000018,0.11564625850340136
2004-10-09,0.376,0.467,0.157,0.473,0.527,60.0,87.0,3.0,150.0,L+NP,1996-03-11,Howard,L+NP,,8.050065422915965,L+NP,0.05400000000000005,0.1836734693877551
2007-11-24,0.434,0.42100000000000004,0.145,0.527,0.473,83.0,65.0,2.0,150.0,L+NP,1996-03-11,Howard,ALP,,8.360539381370861,ALP,-0.05400000000000005,-0.12162162162162163
2010-08-21,0.38,0.433,0.187,0.501,0.499,72.0,72.0,6.0,150.0,ALP,2007-12-03,Gillard,ALP,Outcome was tied major party seats; Govt. decided by independents,6.899723107284872,ALP,0.0020000000000000018,0.0
2013-09-07,0.33399999999999996,0.456,0.21,0.465,0.535,55.0,90.0,5.0,150.0,ALP,2007-12-03,Rudd,L+NP,,7.652070746116482,L+NP,-0.07,-0.2413793103448276
2016-07-02,0.34700000000000003,0.42,0.233,0.496,0.504,69.0,76.0,5.0,150.0,L+NP,2013-09-18,Turnbull,L+NP,,6.925595197110468,L+NP,0.008000000000000007,0.04827586206896552
2019-05-18,0.33299999999999996,0.414,0.253,0.485,0.515,68.0,77.0,6.0,151.0,L+NP,2013-09-18,Morrison,L+NP,,7.63433723562832,L+NP,0.030000000000000027,0.06206896551724138
