datetime,seat,variable,value
2022-01-27 15:46:29.482288,Monash (VIC),Coalition,1.10
2022-01-27 15:46:29.482288,Nicholls (VIC),Coalition,1.07
2022-01-27 15:46:29.482288,Scullin (VIC),Coalition,14.00
2022-01-27 15:46:29.482288,Wannon (VIC),Coalition,1.02
2022-01-27 15:46:29.482288,Wills (VIC),Coalition,21.00
2022-01-27 15:46:29.482288,Blair (QLD),Coalition,10.00
2022-01-27 15:46:29.482288,Bowman (QLD),Coalition,1.10
2022-01-27 15:46:29.482288,Bonner (QLD),Coalition,1.25
2022-01-27 15:46:29.482288,Brisbane (QLD),Coalition,1.40
2022-01-27 15:46:29.482288,Capriconia (QLD),Coalition,1.05
2022-01-27 15:46:29.482288,Dawson (QLD),Coalition,1.08
2022-01-27 15:46:29.482288,Dickson (QLD),Coalition,1.35
2022-01-27 15:46:29.482288,Fadden (QLD),Coalition,1.01
2022-01-27 15:46:29.482288,Fairfax (QLD),Coalition,1.01
2022-01-27 15:46:29.482288,Fisher (QLD),Coalition,1.01
2022-01-27 15:46:29.482288,Flynn (QLD),Coalition,1.87
2022-01-27 15:46:29.482288,Forde (QLD),Coalition,1.02
2022-01-27 15:46:29.482288,Griffith (QLD),Coalition,9.00
2022-01-27 15:46:29.482288,Groom (QLD),Coalition,1.01
2022-01-27 15:46:29.482288,Herbert (QLD),Coalition,1.10
2022-01-27 15:46:29.482288,Hinkler (QLD),Coalition,1.01
2022-01-27 15:46:29.482288,Kennedy (QLD),Coalition,14.00
2022-01-27 15:46:29.482288,Leichhardt (QLD),Coalition,1.50
2022-01-27 15:46:29.482288,Lilley (QLD),Coalition,4.00
2022-01-27 15:46:29.482288,Longman (QLD),Coalition,1.90
2022-01-27 15:46:29.482288,Maranoa (QLD),Coalition,1.01
2022-01-27 15:46:29.482288,McPherson (QLD),Coalition,1.01
2022-01-27 15:46:29.482288,Moncrieff (QLD),Coalition,1.01
2022-01-27 15:46:29.482288,Moreton (QLD),Coalition,9.00
2022-01-27 15:46:29.482288,Oxley (QLD),Coalition,9.00
2022-01-27 15:46:29.482288,Petrie (QLD),Coalition,1.04
2022-01-27 15:46:29.482288,Rankin (QLD),Coalition,10.00
2022-01-27 15:46:29.482288,Ryan (QLD),Coalition,1.05
2022-01-27 15:46:29.482288,Wide Bay (QLD),Coalition,1.01
2022-01-27 15:46:29.482288,Wright (QLD),Coalition,1.01
2022-01-27 15:46:29.482288,Brand (WA),Coalition,12.00
2022-01-27 15:46:29.482288,Burt (WA),Coalition,12.00
2022-01-27 15:46:29.482288,Canning (WA),Coalition,1.05
2022-01-27 15:46:29.482288,Cowan (WA),Coalition,6.50
2022-01-27 15:46:29.482288,Curtin (WA),Coalition,1.01
2022-01-27 15:46:29.482288,Durack (WA),Coalition,1.01
2022-01-27 15:46:29.482288,Forrest (WA),Coalition,1.01
2022-01-27 15:46:29.482288,Fremantle (WA),Coalition,9.00
2022-01-27 15:46:29.482288,Hasluck (WA),Coalition,1.58
2022-01-27 15:46:29.482288,Moore (WA),Coalition,1.01
2022-01-27 15:46:29.482288,O'Connor (WA),Coalition,1.01
2022-01-27 15:46:29.482288,Pearce (WA),Coalition,3.00
2022-01-27 15:46:29.482288,Perth (WA),Coalition,10.00
2022-01-27 15:46:29.482288,Swan (WA),Coalition,3.70
2022-01-27 15:46:29.482288,Adelaide (SA),Coalition,14.00
2022-01-27 15:46:29.482288,Barker (SA),Coalition,1.01
2022-01-27 15:46:29.482288,Boothby (SA),Coalition,1.95
2022-01-27 15:46:29.482288,Grey (SA),Coalition,1.02
2022-01-27 15:46:29.482288,Kingston (SA),Coalition,12.00
2022-01-27 15:46:29.482288,Makin (SA),Coalition,9.00
2022-01-27 15:46:29.482288,Mayo (SA),Coalition,5.00
2022-01-27 15:46:29.482288,Spence (SA),Coalition,14.00
2022-01-27 15:46:29.482288,Sturt (SA),Coalition,1.20
2022-01-27 15:46:29.482288,Hindmarsh (SA),Coalition,9.00
2022-01-27 15:46:29.482288,Bass (TAS),Coalition,2.00
2022-01-27 15:46:29.482288,Clark (TAS),Coalition,14.00
2022-01-27 15:46:29.482288,Lyons (TAS),Coalition,7.00
2022-01-27 15:46:29.482288,Franklin (TAS),Coalition,9.00
2022-01-27 15:46:29.482288,Braddon (TAS),Coalition,1.85
2022-01-27 15:46:29.482288,Fenner (ACT),Coalition,14.00
2022-01-27 15:46:29.482288,Bean (ACT),Coalition,11.00
2022-01-27 15:46:29.482288,Canberra (ACT),Coalition,14.00
2022-01-27 15:46:29.482288,Lingiari (NT),Coalition,6.00
2022-01-27 15:46:29.482288,Solomon (NT),Coalition,7.00
2022-01-27 15:46:29.482288,Banks (NSW),Labor,2.70
2022-01-27 15:46:29.482288,Barton (NSW),Labor,1.05
2022-01-27 15:46:29.482288,Bennelong (NSW),Labor,4.10
2022-01-27 15:46:29.482288,Berowra (NSW),Labor,14.00
2022-01-27 15:46:29.482288,Blaxland (NSW),Labor,1.02
2022-01-27 15:46:29.482288,Bradfield (NSW),Labor,14.00
2022-01-27 15:46:29.482288,Chifley (NSW),Labor,1.01
2022-01-27 15:46:29.482288,Cook (NSW),Labor,14.00
2022-01-27 15:46:29.482288,Cowper (NSW),Labor,14.00
2022-01-27 15:46:29.482288,Cunningham (NSW),Labor,1.01
2022-01-27 15:46:29.482288,Dobell (NSW),Labor,1.70
2022-01-27 15:46:29.482288,Eden-Monaro (NSW),Labor,1.20
2022-01-27 15:46:29.482288,Farrer (NSW),Labor,14.00
2022-01-27 15:46:29.482288,Fowler (NSW),Labor,1.08
2022-01-27 15:46:29.482288,Gilmore (NSW),Labor,1.87
2022-01-27 15:46:29.482288,Grayndler (NSW),Labor,1.01
2022-01-27 15:46:29.482288,Greenway (NSW),Labor,1.12
2022-01-27 15:46:29.482288,Hughes (NSW),Labor,12.00
2022-01-27 15:46:29.482288,Hume (NSW),Labor,21.00
2022-01-27 15:46:29.482288,Hunter (NSW),Labor,1.75
2022-01-27 15:46:29.482288,Kingsford Smith (NSW),Labor,1.03
2022-01-27 15:46:29.482288,Lindsay (NSW),Labor,1.95
